"ACAD_CAREER","ZIP_CODE","HEADCOUNT"
"UGRD","12929",2
"UGRD","13505",1
"UGRD","13645",1
"UGRD","13714",1
"UGRD","13834",1
"UGRD","13903",1
"UGRD","13913",1
"UGRD","14032",1
"UGRD","14058",1
"UGRD","14224",1
"UGRD","14424",1
"UGRD","14487",1
"UGRD","14534",1
"UGRD","14548",1
"UGRD","14701",2
"UGRD","14883",1
"UGRD","14985",1
"UGRD","15000",1
"UGRD","15102",2
"UGRD","15200",1
"UGRD","15203",1
"UGRD","15209",1
"UGRD","15210",1
"UGRD","15237",1
"UGRD","15367",1
"UGRD","15531",1
"UGRD","15600",1
"UGRD","15668",1
"UGRD","15834",2
"UGRD","16001",1
"UGRD","16093",1
"UGRD","16105",1
"UGRD","16160",1
"UGRD","16602",1
"UGRD","17036",1
"UGRD","17050",1
"UGRD","17103",1
"UGRD","17325",1
"UGRD","17756",1
"UGRD","18015",1
"UGRD","18143",1
"UGRD","18641",1
"UGRD","18951",1
"UGRD","19018",1
"UGRD","19047",1
"UGRD","19131",1
"UGRD","19135",1
"UGRD","19946",1
"UGRD","19971",1
"UGRD","19973",1
"UGRD","20002",2
"UGRD","20006",1
"UGRD","20008",1
"UGRD","20012",2
"UGRD","20020",1
"UGRD","20043",1
"UGRD","20112",1
"UGRD","20161",1
"UGRD","20165",1
"UGRD","20175",1
"UGRD","20622",1
"UGRD","20624",1
"UGRD","20735",1
"UGRD","20740",1
"UGRD","20742",1
"UGRD","20744",2
"UGRD","20772",1
"UGRD","20850",1
"UGRD","20874",1
"UGRD","20912",1
"UGRD","21044",1
"UGRD","21208",1
"UGRD","21401",1
"UGRD","21403",1
"UGRD","21440",1
"UGRD","21500",1
"UGRD","21703",1
"UGRD","21783",1
"UGRD","21982",1
"UGRD","22003",1
"UGRD","22025",1
"UGRD","22026",1
"UGRD","22041",1
"UGRD","22046",1
"UGRD","22066",1
"UGRD","22209",1
"UGRD","22251",1
"UGRD","22301",1
"UGRD","22601",1
"UGRD","22655",1
"UGRD","22760",1
"UGRD","23113",1
"UGRD","23322",1
"UGRD","23443",1
"UGRD","23704",1
"UGRD","23832",1
"UGRD","23997",1
"UGRD","24159",1
"UGRD","24471",1
"UGRD","25-21",1
"UGRD","25482",1
"UGRD","258-0",1
"UGRD","27107",1
"UGRD","27292",1
"UGRD","27511",1
"UGRD","27519",1
"UGRD","27604",1
"UGRD","27888",1
"UGRD","28078",2
"UGRD","28104",1
"UGRD","28120",1
"UGRD","28173",1
"UGRD","28214",2
"UGRD","28227",1
"UGRD","28532",1
"UGRD","29031",1
"UGRD","29045",1
"UGRD","29150",1
"UGRD","29229",2
"UGRD","29322",1
"UGRD","29715",1
"UGRD","29928",1
"UGRD","30009",1
"UGRD","30022",1
"UGRD","30047",2
"UGRD","30052",1
"UGRD","30062",1
"UGRD","30075",1
"UGRD","30096",1
"UGRD","30127",2
"UGRD","30144",1
"UGRD","30157",1
"UGRD","30253",1
"UGRD","30338",1
"UGRD","30339",1
"UGRD","30548",1
"UGRD","31125",1
"UGRD","31171",1
"UGRD","31313",1
"UGRD","31411",1
"UGRD","31750",1
"UGRD","32404",1
"UGRD","32433",1
"UGRD","32439",1
"UGRD","32751",1
"UGRD","32804",1
"UGRD","32822",1
"UGRD","32908",1
"UGRD","32937",1
"UGRD","33000",1
"UGRD","33133",1
"UGRD","33176",1
"UGRD","33178",1
"UGRD","33334",2
"UGRD","33433",1
"UGRD","336-7",1
"UGRD","33610",1
"UGRD","33991",1
"UGRD","34193",1
"UGRD","34205",1
"UGRD","34209",1
